교차로명, 오전첨두 , 오후첨두 , 15시간 , 24시간 
1운암사거리,9888 ,9346 ,117993 ,137120 
2동운고가사거리,10582 ,10652 ,124793 ,145020 
3광천사거리,11267 ,11317 ,141617 ,164573 
4농성광장,9625 ,9651 ,121726 ,141460 
5월산마을사거리,5626 ,6887 ,76207 ,88559 
6백운광장,11640 ,10287 ,128532 ,149367 
7남광주교차로,8428 ,7773 ,94954 ,110348 
8산수오거리,5518 ,5680 ,66471 ,77246 
9서방사거리,6372 ,6703 ,81826 ,95091 
10신안교삼거리,6286 ,5634 ,74286 ,86327 
11천교사거리,7720 ,7068 ,93723 ,108915 
12대인교차로,4683 ,4987 ,60169 ,69925 
13문화전당 앞,2305 ,2217 ,29727 ,34547 
14광주역교차로,4334 ,4566 ,56934 ,66364 
15임동오거리,5337 ,4547 ,62131 ,72203 
16광천오거리,4474 ,4563 ,59314 ,68928 
17대성초교사거리,4860 ,4992 ,59393 ,69022 
18광주대입구교차로,5133 ,6357 ,69810 ,82040 
19문화사거리,6252 ,5823 ,79022 ,92866 
20북부서사거리,5867 ,5573 ,70325 ,82647 
21일곡지구입구사거리,4396 ,4143 ,47918 ,56314 
22첨단중앙로사거리,4946 ,5500 ,56047 ,65867 
23흑석사거리,5928 ,5864 ,71321 ,83818 
24운천저수지사거리,9131 ,8883 ,114279 ,134302 
25영광통사거리,4291 ,5526 ,60384 ,70964 
26풍암사거리1),12957 ,11663 ,146605 ,172292 
27풍금사거리,5001 ,5109 ,65783 ,77309 
28금남로4가사거리,3930 ,4100 ,52195 ,60654 
29광주여대사거리,13070 ,10580 ,135424 ,168004 
30송정I.C,6294 ,6569 ,88254 ,103717 
31주월교차로,8732 ,8943 ,98142 ,114052 
32백림약국교차로,4496 ,4204 ,55854 ,64907 
33문흥지구사거리,2965 ,3135 ,37281 ,43814 
34화정삼익사거리,6644 ,7187 ,79952 ,92912 
35무등경기장사거리,3477 ,3747 ,43626 ,50697 
36전대입구사거리,6131 ,6613 ,78124 ,90788 
37경신여고사거리,6106 ,5427 ,78145 ,90810 
38본촌산단사거리,5141 ,4674 ,57428 ,67488 
39양산지구사거리,4609 ,4785 ,54819 ,64422 
40계수교차로,16381 ,17535 ,210955 ,247915 
41쌍촌역사거리,7418 ,6920 ,90185 ,105985 
42하남로입구사거리,6806 ,6703 ,75754 ,89026 
43우석교차로1),18607 ,17154 ,218445 ,256763 
44기아자동차사거리,9058 ,9814 ,123917 ,145628 
45서창교차로1),12642 ,13144 ,143815 ,169187 
46산월I.C,14061 ,13089 ,160114 ,188166 
47선운사거리,9351 ,7736 ,111088 ,130551 
48상무교차로,13459 ,13877 ,179524 ,210977 
49목련마을입구,7578 ,8005 ,95232 ,111917 
50금호자동차학원,7809 ,6772 ,74356 ,87384 
51행암교차로,4192 ,4683 ,49024 ,58369 
52응용교차로,4971 ,5015 ,45932 ,53978 
53신용교차로,10029 ,8464 ,90747 ,106644 
54연제교차로2),9117 ,8465 ,102029 ,119906 
55북구청사거리2),4327 ,4041 ,53892 ,62627 
56수완성덕교사거리2),6861 ,7430 ,91743 ,107817 
57하남산단6번로사거리2),5004 ,4661 ,55706 ,65467 
58평동산단입구사거리2),3700 ,3671 ,44222 ,51970 
59운수I.C2),9994 ,8616 ,121002 ,142202 
